Título,Compañía,Ubicación,Descripción
Project Manager,Smart Bit Developments,Lima,"Estamos en la búsqueda de profesionales para unirse a nuestro equipo en el desarrollo de plataformas de streaming innovadoras, diseñadas para múltiples dispositivos móviles y televisores conectados. Nuestro equipo se caracteriza por su alto nivel técnico y capacidad para actuar con rapidez, con el objetivo de generar un impacto significativo en el mercado latinoamericano. Trabajamos con clientes de alto perfil en Brasil y Estados Unidos, y buscamos talento que comparta nuestra visión de transformación en la industria de medios digitales.

Estamos buscando un Gerente de Proyectos altamente motivado y con experiencia para liderar nuestros proyectos de desarrollo en el espacio de móviles y TV conectada. El candidato ideal tendrá una sólida experiencia en la gestión de proyectos de desarrollo de software con metodologías ágiles y excelentes habilidades de liderazgo. Trabajará en estrecha colaboración con equipos multifuncionales, incluidos desarrolladores, diseñadores, gerentes de producto y partes interesadas, para entregar proyectos de alta calidad a tiempo y dentro del alcance.

Liderar y gestionar la entrega de proyectos de desarrollo de móviles y TV conectada de principio a fin. Definir el alcance, los objetivos y los entregables del proyecto en colaboración con las partes interesadas y los miembros del equipo. Desarrollar planes de proyecto detallados, cronogramas y líneas de tiempo, asegurando la alineación con los objetivos y prioridades de la empresa. Coordinar y comunicar eficazmente con equipos internos y socios externos para garantizar que se cumplan los hitos del proyecto. Monitorear el progreso del proyecto, identificar posibles riesgos e implementar proactivamente estrategias de mitigación. Facilitar reuniones diarias, planificación de sprints y retrospectivas como parte de las prácticas de gestión de proyectos Ágiles. Asegurar que los proyectos se entreguen a tiempo, dentro del alcance y del presupuesto. Actuar como el punto de contacto principal para las partes interesadas, proporcionando actualizaciones regulares sobre el estado del proyecto, riesgos y problemas. Impulsar iniciativas de mejora continua para optimizar los procesos de gestión de proyectos y mejorar el rendimiento del equipo.

Más de 3 años de experiencia como Gerente de Proyectos en desarrollo de software, preferiblemente en la industria del streaming o medios. Experiencia comprobada en la gestión de proyectos para plataformas móviles y/o TV conectada. Sólido conocimiento de las metodologías Ágiles y experiencia liderando equipos Ágiles. Excelentes habilidades organizativas, de liderazgo y comunicación. Capacidad para gestionar múltiples proyectos simultáneamente y priorizar tareas de manera efectiva. Mentalidad de resolución de problemas con un enfoque proactivo ante los desafíos. Familiaridad con herramientas de gestión de proyectos como JIRA, Trello o Asana."
Investigador Junior Perfiles Compañias,BNamericas,Remote,"BNamericas es una plataforma de inteligencia de negocios, multicultural e inclusiva, con 28 años de experiencia en el mercado LATAM, proporcionando a nuestros clientes información valiosa y actualizada sobre proyectos, noticias y datos relacionados con las áreas de Energía Eléctrica, Infraestructura, Minería y Metales, Petróleo y Gas, TIC, entre otros, de manera que puedan utilizar esta información para tomar decisiones estratégicas para su negocio.Actualmente estamos en búsqueda de traductores y administrativos titulados bilingües, para que se integren en octubre 2024 al equipo de Investigadores Junior de Perfiles de Compañía de nuestra área Contenido. La principal responsabilidad de un Investigador Junior de Perfiles de Compañías, consiste en contactar a profesionales de diversos sectores industriales de Latinoamérica en inglés, español y/o portugués, para actualizar la base de datos de BNamericas en el equipo de Perfiles Compañías.

Aprender el uso apropiado del sistema de gestión (CMS) de BNamericas. Ejecutar todos los procesos de registro de datos para contactar a personas de interés seleccionadas y lograr confirmaciones de vigencia por medio de correos y redes sociales. Gestionar (organizar, clasificar y actualizar) bases de datos asignadas siguiendo las indicaciones editoriales para que la información sea completa y coherente. Velar por el uso correcto y consistente de los estándares editoriales (ortografía, gramática, estilo, etc.). Crear nuevos contenidos con datos en español, inglés y portugués siguiendo los criterios de la línea editorial y la cobertura de BNamericas.

Formación técnico o profesional titulados de carreras como: traducción o carreras de tipo administrativas relacionadas.- Profesionales titulados. Será un plus si posees al menos 1 año de experiencia laboral en las tareas y funciones asociadas a este rol.- Habilidades de comunicación escrita y comprensión en idiomas inglés y español (redacción, gramática, ortografía y puntuación).- Dominio a nivel usuario de Excel, Outlook, OneDrive y LinkedIn.- Experiencia previa utilizando métodos eficaces en recopilar, detectar información de interés, sintetizar y estructurarla con claridad.Otros requerimientos a considerar:*Disponibilidad de lunes a viernes de 8.00 a 17.00 pm. (Es fundamental mantener conexión puntual y continuada a través de la herramienta de Microsoft Teams).*Disponer de conexión a internet por cable*Contar con referencias laborales comprobables.*Disponibilidad para el trabajo remoto e iniciar en octubre 2024.

+Trabajo 100% remoto desde Chile+Excelente ambiente laboral multicultural+Trabajar en una de las empresas de inteligencia y negocio con mayor trayectoria en LATAM+Proceso de inducción, capacitación orientada al rol y retroalimentación.+Oportunidades de aprendizaje y formación continua+Beneficios Corporativos (Al lograr tu contrato indefinido tendrás acceso a seguros de salud complementarios, descuentos corporativos en comercios asociados, actividades de equipo y muchos beneficios más).¡Postula ya!*Todas las postulaciones inclusivas son bienvenidas."
Ingeniero Planificación Materias Primas,Agrosuper,Rancagua,"En Agrosuper nos apasiona alimentar lo bueno de la vida todos los días, haciendo las cosas siempre mejor, con espíritu de crecimiento y desarrollo, y disfrutando la vida.Por este motivo, buscamos a personas con ganas de crecer y desarrollarse para que se unan a nuestro equipo y así potenciar todos sus talentos. Buscamos a un titulado de Ingeniero civil industrial, comercia o carrera afín., que sea el responsable de la planificación de las Materias Primas que estarán disponibles para la producción de Elaborado y Cecinas en las plantas de San Vicente, Sopraval, Alimentos Doñihue y Maquiladores, en los tres horizontes de planificación (Semanal, Mensual y Anual) tomando la mejor decisión considerando la necesidad comercial, capacidad de Planta y disponibilidad.

Planificación de los requerimientos de Insumos Cárnicos para la producción de los sectores Elaborado y Cecinas, en las plantas de San Vicente, Sopraval y Alimentos Doñihue. Siendo el responsable de la correcta ejecución del plan y operación de recepción entre las distintas áreas involucradas (Compras, Plantas, Negocios, Ventas Nacionales y CDS)

Título profesional de Ingeniero civil industrial, comercia o carrera afín. Trabajar de manera presencial en Rancagua (excluyente)Licencia de conducir clase B (excluyente)Movilidad propia (excluyente)Disponibilidad para trasladarse una vez a la semana a las distintas plantas. (excluyente)Power Bi nivel intermedio / avanzando (excluyente)Excel intermedio/ avanzado (excluyente)Deseable SQlDeseable 2 años de experiencia en Abastecimiento"
Ingeniero de Operaciones (Carrier Manager),Enviame,Remote,"¿Conoces Envíame?Somos la plataforma y API de envíos más innovadora en Latinoamérica y nuestros sistemas procesan millones de transacciones mensuales de los principales eCommerce de Chile, Colombia, Perú y México.Nuestro propósito es:Crear tecnologías que innovan la logística, explorando más allá de lo imaginable para entregar experiencias extraordinarias.Tenemos una cultura muy diversa y nos encanta compartir aficiones. Escuchamos las sugerencias de todos y nos arriesgamos a probar metodologías y tecnologías nuevas. Al ser Exploradores, tenemos un profundo sentido de aventura asociado al modo en que realizamos nuestro trabajo. Estamos creando una empresa que sea líder en la industria y que a la vez, sea referente en materias de cultura organizacional y clima laboral.¡Te invitamos a vivir la experiencia de formar parte de Envíame!

Estamos buscando personas entusiastas que les motiven los retos, aprender y explorar más allá de lo imaginable, para desempeñarse como Carrier Manager en nuestro equipo de Operaciones.Algunas funciones son: Negociar tarifas y condiciones de servicios especiales con los operadores logísticos según canales definidos. Recibir evaluación comercial de clientes para abrir nuevos servicios con Operadores logísticos y apoyar en su integración a la plataforma. Recibir, actualizar e informar nuevas tarifas indicadas por los Operadores logísticos para detectar y reportar facturas e indemnizaciones no pagadas Atender y analizar rechazos o problemas técnicos de los Operadores que puedan ocurrir en la plataforma de Envíame. Supervisar y coordinar el correcto agendamiento de retiros de Sellers (clientes) con Operadores Logísticos.

Desde 1 año de experiencia laboral desarrollando funciones similares. Estudios de Ingeniería Industrial, Ingeniería Comercial, Administración de empresas, o afin. Conocimientos de Excel nivel Intermedio. Disponibilidad para asistir a reuniones presenciales y visitas a operadores de manera ocasional. Deseable especialización en Logística de e-Commerce, Supply Chain, Marketplace, Tecnologías, etc.

Trabajo desde casa (Homeoffice). Early Friday (Día viernes salida a las 16:30 hrs). El día de tu cumpleaños tienes libre o puedes elegir uno de esa semana. Estructura de trabajo horizontal, valoramos la comunicación y abordar situaciones como equipo. Espacios de aprendizaje y capacitación mediante la adquisición de experiencia constante en este dinámico rubro. Apoyo al crecimiento personal y profesional. Consideramos importante que tengas tiempo libre con tu familia, amigos, hobbies, etc. Por tanto, tenemos políticas orientadas a regalarle tiempo a nuestros colaboradores. Contamos con Telemedicina 24/7, consultas psicológicas ilimitadas, seguro de vida e invalidez, Apps de Meditación, Fitness y asesoría financiera. ¡Te invitamos a vivir la experiencia de formar parte de Envíame!¡Nos vemos pronto Explorador/a!¡Mucho éxito!"
Digital Business Manager,Nectia Software,Santiago,"Somos Nectia Software, una empresa de desarrollo ágil de software con más de 20 años de experiencia.Hoy somos un equipo de más de 50 personas dedicadas de lleno a la tecnología: Diseñadores UX, Ingenieros y Desarrolladores.Actualmente nos encontramos trabajando en proyectos de User eXperience, Arquitectura de Software y Desarrollo de Software a medida, en los cuales planeamos seguir avanzando y creciendo.En esta oportunidad buscamos a nuestro próximo Digital Business Manager, quien será el responsable de identificar, buscar y generar nuevas oportunidades comerciales, negociar acuerdos y mantener una buena relación con el cliente que permita generar nuevos negocios.

Generar reuniones con clientes calificados y entender sus necesidades. Buscar activamente nuevas oportunidades de venta a través de llamadas en frío, el establecimiento de contactos y los medios sociales. Realizar estudios de mercado para identificar posibilidades de venta y evaluar las necesidades del mercado. Preparar y realizar presentaciones de alto impacto de servicios. Participar en nombre de Nectia en eventos (exposiciones, conferencias, ferias, seminarios comerciales, entre otros). Negociar y cerrar negocios con actuales o potenciales clientes. Realizar seguimiento a oportunidades generadas, asegurando que terminen en el cierre de nuevos negocios. Mantener la relación con clientes, a través de atención de la cuenta. Asegurar el cumplimiento de las metas comerciales definidas por la Gerencia. Implementar y ejecutar la estrategia comercial, apoyando en el desarrollo de la misma. Promover y posicionar la marca a través de redes de contactos, eventos, entre otros. Participar en eventos, ferias y seminarios comerciales y de marketing representando la marca. Gestionar la documentación administrativa necesaria (ordenes de compra, contratos, boletas de garantía, facturas, entre otros). Mantener actualizada la información del ciclo de venta en el CRM interno de Nectia.

Al menos 5 años de experiencia como Digital Business Manager en empresas de Desarrollo de Software (excluyente) Excelentes habilidades interpersonales. Habilidades de negociación. Contar con una cartera de clientes robusta. Residir en Santiago.

Estamos asociados a la Caja de compensación los Andes y Mutual Achs. Te damos día libre en la fecha de tu cumpleaños y puedes cambiarlo dentro de esa misma semana por el día que tú quieras. Muy buen seguro complementario de Salud (prima mensual 50% bonificada por Nectia). Para que puedas crecer: Workshops y capacitaciones internas/externas, proyectos de innovación internos. Muy buen ambiente laboral. Y no somos para nada exigentes respecto al Dress Code."
Investigador Junior de Proyectos,BNamericas,Remote,"BNamericas es una plataforma de inteligencia de negocios, multicultural e inclusiva, con 28 años de experiencia en el mercado LATAM, proporcionando a nuestros clientes información valiosa y actualizada sobre proyectos, noticias y datos relacionados con las áreas de Energía Eléctrica, Infraestructura, Minería y Metales, Petróleo y Gas, TIC, entre otros, de manera que puedan utilizar esta información para tomar decisiones estratégicas para su negocio.Actualmente estamos en búsqueda de traductores inglés-portugués-español para que puedan incorporarse al equipo de Investigadores junior de perfiles de proyectos del área Contenido.

Realizar búsquedas de información en internet Búsqueda y análisis de fuentes de información de proyectos en las áreas de cobertura Buscar y actualizar información en CMS Verificar que la información no esté homologada en otras fuentes Revisar bases de datos, para la obtención de información y registrar la información obtenida en la base de datos de la empresa.

Título técnico/profesional en traducción; pedagogía en lenguas, traducción o similares. Mínimo 1 año de experiencia realizando traducciones técnicas e investigación de datos. (excluyente) Dominio verbal y escrito en español - inglés / español – portugués a un nivel intermedio-avanzado (excluyente) Disponer de conexión a internet por cable Contar con referencias laborales comprobables. Dominio a nivel usuario en herramientas de informática (G-Suite; Word, Excel, Outlook y otros). Disposición a realizar tareas de rutina con constancia y calidad. Motivación por aprender de aplicaciones y herramientas de tecnología e información. Consideraciones: Este trabajo se realiza 100% remoto desde Chile. La coordinación de tareas se realiza a través de una comunicación directa con el equipo entre las 8.00 y las 17.00 pm horario continuado por medio de la herramienta de Microsoft Teams. Es necesario tener disponibilidad para iniciar con fecha 2-Oct-2024

Plazo fijo, renovable de acuerdo a desempeño. Trabajo remoto localmente. Pertenecer a una de las empresas de inteligencia y negocio con mayor trayectoria en LATAM Excelente ambiente laboral multicultural Oportunidades de aprendizaje y formación continua Beneficios Corporativos (Programa de bienestar, Seguros de Vida, Salud y Dental, 2 Interferiados al año, reparaciones de la computadora de empresa, Pausa Activa, Descuentos en compras con comercios en convenio; medio día libre el día de tu cumpleaños; navidad y año nuevo; Aguinaldos de Fiestas Patrías y Navidad; y mucho más)"
IT Project Manager,Ensitech,Remote,"¡Únete a #Ensiteam!Somos una empresa centrada en el desarrollo de software a medida y llevamos más de 19 años en el mercado. En Ensitech nos dedicamos a encontrar talento altamente especializado para trabajar con grandes empresas en Estados Unidos, Europa y Canadá.Cada uno de nuestros colaboradores trabaja con diferentes equipos y colegas alrededor del mundo, en el diseño y comercialización de software. Esperamos tenerte como parte de nuestro equipo en el rol de IT Project Manager.

Planificar, desarrollar y dar seguimiento al plan del proyecto. Crear cronogramas e informes de progreso. Monitorear el progreso del proyecto y establecer plazos. Resolver problemas y evaluar el desempeño del proyecto. Preparar actualizaciones ejecutivas.

Experiencia de 5 años de experiencia gestionando e implementando proyectos de TI Dominio de herramientas de gestión de proyectos. Conocimiento de herramientas de colaboración como Slack, Microsoft Teams, etc. Inglés avanzado.

Salario y beneficios competitivos. Paquete de beneficios personalizado alineado con tu experiencia y tus necesidades. Certificaciones. Clases de Inglés."
Ejecutivos de Recaudacion y Procesos,S3 Chile,Santiago,"Únete a nuestro equipo en S3 Chile y lleva tu carrera al siguiente nivel! Estamos buscando un Ejecutivo de recaudación y procesos para realizar requerimientos, analizar casos con SQL Server y proponer mejoras en los procesos de recaudación. Si eres proactivo, orientado a resultados y quieres ser parte de una empresa líder en Santiago, ¡te estamos buscando!

📧 Gestión de Correos: Responder y gestionar eficientemente la correspondencia del área de recaudación.🔍 Análisis de Casos: Evaluar y resolver casos complejos utilizando SQL Server, aplicando un pensamiento crítico para asegurar precisión y eficiencia.🚀 Optimización de Procesos: Diseñar y coordinar proyectos para mejorar la eficiencia en la recaudación, demostrando habilidades para proponer soluciones innovadoras.📚 Documentación: Crear y actualizar documentación para nuevos y mejorados procesos, comunicando claramente los procedimientos a los equipos involucrados.

🎓 Formación Académica: Estudiante o graduado en Ingeniería Informática, Ingeniería Civil o carrera afín.💻 Conocimientos Técnicos: Manejo de Office (Excel, Outlook, PowerPoint, Word) y conocimientos en SQL.🔧 Deseable: Experiencia en Macros en Excel, Visual Studio 2010, Power BI y metodologías ágiles.

Entorno Dinámico: Un ambiente de trabajo que impulsa tu crecimiento profesional y personal.Oportunidades de Desarrollo: Participa en proyectos desafiantes que fomentan la innovación y el aprendizaje continuo.¿Interesado/a? Envía tu CV ACTUALIZADO y únete a S3 Chile para una carrera llena de oportunidades y desafíos.¡Estamos ansiosos por conocerte! 🌟"
Project Leader,Sophos Solutions,Medellín,"Somos una compañía global de soluciones tecnológicas, con operaciones en 14 países alrededor del mundo , expertos en tecnología, liderando proyectos que están revolucionando la industria y transformando con éxito las instituciones financieras más importantes 🌎 Contamos con filiales en 6 países Colombia, Estados Unidos, México, India, Chile y Panamá.

Capacidad para preparar y controlar el Plan de Calidad establecido para la necesidad realizar estimaciones, planeaciones definir estrategias de pruebas liderar equipos asignar tareas a los equipos y realizar seguimiento garantizar ANS realizar seguimiento a cliente

Profesional en ingeniería de sistemas o carreras afines con mínimo 3 años de experiencia liderando equipos de calidad de software y coordinando de equipos de pruebas. Experiencia mínima de 3 años en todo el proceso de calidad, ejecutando pruebas funcionales a nivel de front y back. Experiencia mínima de 3 años en pruebas a nivel web y en dispositivos móviles, pruebas con microservicios, Soap UI, Postman, Azure DevOps, con conocimiento en lenguaje SQL. Experiencia mínima de 3 años en metodología scrum y manejo de herramientas de gestión como Azure y/o Jira.

Cuentas con certificaciones en SCRUM, ISTQB o algún lenguaje de programación Tienes experiencia en el manejo de herramientas de automatización y pruebas no funcionales Tienes conocimientos en negocio fijo de telecomunicaciones

Contrato a término indefinido con fines de semana libres, trabajo híbrido en la ciudad de Medellín, salario justo de acuerdo con tu perfil en el mercado y beneficios extralegales. Acceso a nuestra propia plataforma de aprendizaje, para que te certifiques en tecnologías o habilidades necesarias para tu crecimiento. Carta de beneficios para que elijas los que más te gusten entre las opciones según tus puntos (ej: seguro de mascotas, puntos para restaurantes, tarjetas de regalo, plataforma fit, entre muchos otros)."
Especialista de Alianzas y Relaciones (Operaciones),Enviame,Remote,"¿Conoces Envíame?Somos la plataforma y API de envíos más innovadora en Latinoamérica y nuestros sistemas procesan millones de transacciones mensuales de los principales eCommerce de Chile, Colombia, Perú y México.Nuestro propósito es:Crear tecnologías que innovan la logística, explorando más allá de lo imaginable para entregar experiencias extraordinarias.Tenemos una cultura muy diversa y nos encanta compartir aficiones. Escuchamos las sugerencias de todos y nos arriesgamos a probar metodologías y tecnologías nuevas. Al ser Exploradores, tenemos un profundo sentido de aventura asociado al modo en que realizamos nuestro trabajo. Estamos creando una empresa que sea líder en la industria y que a la vez, sea referente en materias de cultura organizacional y clima laboral.¡Te invitamos a vivir la experiencia de formar parte de Envíame!

Estamos buscando personas entusiastas que les motiven los retos, aprender y explorar más allá de lo imaginable, para desempeñarse como Especialista de Alianzas y Relaciones (Operaciones) en nuestra Gerencia de Operaciones. Algunas funciones son: Negociar tarifas, condiciones de servicios especiales con los operadores según los canales definidos por la Gerencia. Abrir nuevos servicios con los Operadores generando reuniones y enviando información relativa a estos. Analizar y estructurar nuevos negocios con Sellers existentes o nuevos, buscando los Operadores que más se adapten y cumplen con sus necesidades. Recibir, actualizar e informar nuevas tarifas indicadas por los Operadores logísticos, realizando comunicados a los clientes. Detectar y reportar indemnizaciones no pagadas por parte de los Operadores Logísticos. Detectar y reportar facturas no pagadas a los Operadores Logísticos. Apoyar la integración de nuevos operadores a la plataforma de Envíame, generando reuniones online, además del envío de correos electrónicos de respaldo.

Título profesional con especialidad acorde al cargo. Nivel Excel nivel intermedio (Se aplicará prueba técnica para ello). Sobre 2 años en cargos relacionados con Operadores/Proveedores. Deseable experiencia en Startups y Marketplaces."
Sales Representative (Lead Generation and Outreach),Interview Now,Remote,"At Interview Now, you will be joining our Sales Team, a highly collaborative and results-driven group focused on expanding our reach within the government sector. Our team works closely with public institutions to provide them with cutting-edge recruiting software that streamlines their hiring processes, making it easier for government agencies to attract, hire, and retain talent.On the sales side, our team leverages a combination of modern CRM tools Hubspot, detailed lead-generation strategies, and personalized outreach techniques to engage key decision-makers within government agencies. Currently, we’re working on expanding into new government markets, building stronger relationships with existing clients, and educating agencies on the value of our recruiting software. You will play a vital role in growing this effort by booking meetings and generating quality leads, helping us meet our ambitious growth targets.

As a Sales Representative focused on lead generation and outreach, you will join our dynamic sales team, which collaborates closely with government agencies to provide tailored recruiting software solutions. Your primary responsibility will be to generate leads and schedule qualified meetings with key decision-makers in public institutions.Your day-to-day tasks will include: Prospecting and Research: Identify potential government agencies that can benefit from our recruiting software by conducting targeted research. Outreach: Execute personalized outreach strategies through cold calls, emails, and social media to initiate conversations with government officials and decision-makers. Lead Nurturing: Maintain ongoing communication with prospects, follow up on initial outreach, and nurture relationships until meetings are secured. Meeting Scheduling: Coordinate and book meetings between prospects and our senior sales team to showcase how our software can meet their specific recruiting needs. As you gain experience in the role, you will be given the opportunity to take on more responsibilities, including managing higher-value accounts, refining lead generation strategies, and potentially contributing to larger sales opportunities.

Experience in Sales or Lead Generation: You should have at least 1-2 years of experience in a sales or lead generation role. Proficient in CRM Tools (e.g., HubSpot, Salesforce): Proficiency in CRM tools is essential, as you will be managing a pipeline of leads, tracking outreach efforts, and ensuring accurate data entry. This helps streamline communication and keeps our sales process organized, allowing us to follow up on leads efficiently. Strong Communication Skills (Written and Verbal): You must be able to communicate clearly and persuasively, both in writing and over the phone, as this role involves conducting cold outreach and setting up meetings with government officials. Your ability to build rapport and convey the value of our software will be key to securing meetings with decision-makers. Autonomous and Proactive: In our company, we value individuals who can take initiative without needing constant oversight. You should be comfortable working independently to meet your goals and proactively seeking out new opportunities to expand our client base. This trait is especially important in a remote environment where self-management is key to success. Organizational Skills and Attention to Detail: This role requires excellent organizational skills to manage multiple leads and outreach efforts simultaneously. Attention to detail is critical to ensure that all communication is personalized, and that follow-ups are timely and well-organized. Soft Skills: Results-Driven: We value individuals who are motivated by achieving measurable results. In this role, your primary metric for success will be the number of qualified meetings booked, and we are looking for someone who thrives in a performance-driven environment. Collaborative Spirit: While the role requires a high level of autonomy, you’ll also work closely with other sales reps and product experts. Being a team player who can collaborate across departments is essential for success in our company.

We’re committed to your professional development, and as the company continues to grow, there will be opportunities for you to advance within the team, take on more responsibilities, and shape your career path."
Marketing Development Representative,AgendaPro,Ciudad de México,"AgendaPro simplifica el día a día a dueños y administradores de Centros de Salud, Belleza y Deporte a través de un software de gestión todo-en-uno 💻 y soluciones POS 💰 (punto de ventas), el cual les permite enfocarse en lo más importante: sus clientes y hacer crecer su negocio.Actualmente, tenemos más de 11.000 clientes en todo LATAM y Europa y somos parte de Y Combinator, una de las aceleradoras con más prestigio a nivel mundial. Reconocida por apoyar a empresas como Rappi, Stripe, Airbnb y Dropbox entre otras. Así que llegarás en el momento perfecto para colaborar con nuestras metas de crecimiento 🚀.¿Preparado para crecer y enfrentar grandes desafíos con nosotros? 😎

Funciones del cargoComo Marketing Development Representative en Agendapro trabajarás en el área de marketing y ventas.Tu principal responsabilidad será calificar leads utilizando la metodología BANT (Presupuesto, Autoridad, Necesidad y Tiempo) y generar oportunidades de ventas cualificadas para nuestro equipo de Account Executives. Serás el primer punto de contacto con nuestros potenciales clientes y desempeñarás un papel fundamental en el crecimiento y éxito de nuestra empresa.Responsabilidades: Calificar leads para determinar su idoneidad según la metodología BANT. Programar y coordinar demostraciones de leads cualificados en colaboración con el equipo de Account Executives. Comunicar proactivamente la propuesta de valor a los leads a través de llamadas, correos electrónicos y otras formas de comunicación. Identificar las necesidades y desafíos de los leads, y presentar de manera efectiva cómo nuestras soluciones pueden resolverlos. Mantener registros precisos de todas las interacciones y seguimientos en nuestro sistema de gestión de relaciones con el cliente (CRM). Trabajar en estrecha colaboración con el equipo de Marketing para comprender las campañas y promociones en curso, y ajustar tus enfoques en consecuencia.

Conocimientos avanzados de herramientas de CRM (Customer Relationship Management), como HubSpot, Salesforce o Zoho CRM, para registrar y gestionar eficientemente la información de los leads y clientes. Familiaridad con técnicas de venta consultiva para comprender las necesidades del cliente y presentar soluciones de manera efectiva. Experiencia previa en ventas, generación de leads o desarrollo comercial. Conocimiento de la metodología BANT (Presupuesto, Autoridad, Necesidad y Tiempo) para la calificación de leads. Excelentes habilidades de comunicación verbal y escrita en español. Habilidad para establecer relaciones de manera efectiva y construir confianza con los potenciales clientes. Orientación a resultados y capacidad para cumplir y superar objetivos de generación de oportunidades de ventas. Experiencia en el uso de herramientas de CRM y software de ventas. Actitud proactiva, motivada y orientada al equipo.

Experiencia en el uso de herramientas de automatización de marketing, como Mailchimp, Marketo o ActiveCampaign, para ejecutar campañas de correo electrónico y nutrir leads. Habilidades analíticas para interpretar datos de rendimiento de campañas de marketing y ajustar estrategias en función de los resultados. Experiencia en la gestión de redes sociales y conocimiento de prácticas efectivas de marketing en plataformas como LinkedIn, Instagram y Facebook. Competencias en el uso de herramientas de análisis web, como Google Analytics, para evaluar el tráfico del sitio web y el comportamiento del usuario.

Oportunidad de crecimiento profesional en una empresa de rápido crecimiento en la industria SaaS. Entorno de trabajo colaborativo y orientado a resultados. Capacitación continua en ventas, productos y metodologías de generación de leads. Paquete de compensación competitivo, que incluye salario base y bonificaciones por logro de objetivos."
VP of Sales,Rankmi,Santiago,"💖 ¿Por qué trabajar en Rankmi?En Rankmi, no solo somos apasionados por la tecnología, sino que también fomentamos un ambiente alegre y colaborativo. 💪 Apreciamos la innovación y acogemos el ritmo vibrante del cambio, creando un espacio donde cada miembro del equipo tiene un rol valioso en nuestro éxito común.¿Quieres ser nuestr@ próxim@ VP Of Sales? 😍Tu misión será liderar y desarrollar las operaciones comerciales de Rankmi en Chile, asegurando el crecimiento sostenido del negocio, la satisfacción del cliente y el cumplimiento de los objetivos estratégicos de la compañía, junto a un equipo de clase mundial.

Gestión del equipo: Liderar, motivar y desarrollar equipos de ventas, generación de demanda y marketing, asegurando el cumplimiento de metas y objetivos comerciales. Relaciones estratégicas: Establecer y mantener relaciones sólidas con clientes clave, socios comerciales y stakeholders internos (CEO, CRO, Gerente de Operaciones). Operaciones: Colaborar y trabajar de la mano con el Gerente de Operaciones en Chile para asegurar la eficiencia y eficacia de la implementación, el servicio y la satisfacción del cliente. Desarrollo de negocio: Identificar nuevas oportunidades de negocio, desarrollar estrategias de crecimiento y ejecutar planes de acción para alcanzar los objetivos comerciales. Representación: Ser el principal representante de Rankmi en Chile, participando en eventos de la industria y fortaleciendo la marca. Accountability: Asumir la responsabilidad total por los resultados del negocio en Chile, incluyendo ingresos, márgenes y satisfacción del cliente. ¿Qué te ofrecemos? Trabajar en una empresa en la vanguardia de la tecnología que crece muy fuerte en todo Latam. Ambiente de trabajo dinámico y desafiante, con un equipo de trabajo altamente capacitado y apasionado. Atractivo paquete de compensación y beneficios adicionales.

Estudios profesionales como Ingeniería Civil, Ingeniería Comercial, Administración, Negocios, o carrera afín. Experiencia de +10 años en roles similares, donde +5 años sean liderando equipos comerciales en empresas de tecnología, idealmente SaaS B2B. Sólidos conocimientos del mercado chileno de RRHH y tecnología. Habilidades de negociación, comunicación y relación interpersonal. Orientación a resultados y capacidad para trabajar en entornos dinámicos y desafiantes. Visión estratégica y capacidad de análisis de datos. Para este rol, además buscamos: Liderazgo: Capacidad para inspirar y motivar equipos, fomentar una cultura de alto desempeño y construir relaciones de confianza. Ejecución: Buscamos a ejecutores que tengan un sesgo por la acción y la gestión eficiente. Orientación al cliente: Compromiso con la satisfacción del cliente y capacidad para construir relaciones a largo plazo. Adaptabilidad: Capacidad para adaptarse a cambios rápidos y trabajar en entornos complejos.

Nos gustan las diferencias, sin embargo hay un grupo de cualidades que tod@s compartimos: Amamos el Dinamismo: ¡Nos encanta adaptarnos y destacarnos en un entorno siempre cambiante, somos tan flexibles como el mejor acróbata! 🤸 Eternos Aprendices: Nos emociona aprender cosas nuevas y nunca dejamos de crecer. 🤓 Buscadores de Mejoras Constantes: Siempre estamos buscando formas de mejorar y crecer. ¡Estamos en constante evolución! 🤖 Maestros de la Colaboración: Valoramos enormemente el trabajo en equipo, sabiendo que juntos podemos lograr grandes cosas. 💞 Guardianes del Respeto: Tratamos a cada uno con el respeto que se merece. ¡El respeto es una prioridad intransable para nosotros! 🤝

🏄🏼‍♀️ Work-Life Balance Blended Working: Nuestro modelo de trabajo es híbrido en las oficinas de Chile, Perú y México. Días de vacaciones adicionales para desconectarte y recargar energías. Día libre para mudanza. Permisos de días libres sin goce de sueldo. Flexibilidad en horarios laborales. Somos autónomos, sabemos que nuestros compañeros y clientes confían en que seremos responsables. 💖 We Care Medio día libre en tu cumpleaños, en el de tus hijos/as, y/o cónyuge. Permiso de postnatal adicional para padres. Bonos por diversas ocasiones: programa de referidos, matrimonio/unión civil, nacimiento de hijo/as. Porque nuestras mascotas también son parte de la familia, te ofrecemos un día libre en caso de pérdida. ✨ Rankmi Vibes Dress code relajado. Trabajo con metodologías ágiles y equipos multidisciplinarios. Ambiente relajado y multicultural. ¡Rankmi puntos para usar en nuestra tiendita! Utiliza tus puntos para canjear merch de Rankmi, eGiftCards o cursos en Udemy."
